artist_id,name,genre,image_path,festival_id,performance_date
two_friends,Two Friends,"dance-pop, progressive house, edm",assets/artists/two_friends.png,pkp2025,"July 31, 2025"
mau_p,Mau P,"tech house, house, electronic",assets/artists/Mau P.png,pkp2025,"July 31, 2025"
martin_garrix,Martin Garrix,"progressive house, big room house, electro house, future bass",assets/artists/martin_garrix.png,pkp2025,"July 31, 2025"
levity,Levity,"electronic, ambient, downtempo",assets/artists/levity.png,pkp2025,"July 31, 2025"
bladee,Bladee,"cloud rap, experimental, trap, alternative r&b, emo rap, pop rap",assets/artists/bladee.png,pkp2025,"Aug 1, 2025"
flip_turn,Flip Turn,"indie rock, alternative rock, indie pop",assets/artists/flip_turn.png,pkp2025,"Aug 1, 2025"
orion_sun,Orion Sun,"indie rock, jazz, r&b, hip hop",assets/artists/orion_sun.png,pkp2025,"Aug 1, 2025"
glass_beams,Glass Beams,"psychedelic, world fusion, jazz fusion, instrumental",assets/artists/Glass Beams.png,pkp2025,"Aug 1, 2025"
twice,TWICE,"k-pop, j-pop, bubblegum pop, edm",assets/artists/TWICE.png,pkp2025,"Aug 1, 2025"
charlotte_lawrence,Charlotte Lawrence,"pop, indie pop",assets/artists/Charlotte_Lawrence.png,pkp2025,"Aug 1, 2025"
mk_gee,MK.gee,"indie pop, alternative r&b",assets/artists/mk.gee.png,pkp2025,"Aug 2, 2025"
kaicrewsade,Kaicrewsade,"hip hop, jazz, juke",assets/artists/kaicrewsade.png,pkp2025,"Aug 2, 2025"
bilmuri,Bilmuri,"indie rock, alternative rock",assets/artists/bilmuri.png,pkp2025,"Aug 2, 2025"
remi_wolf,Remi Wolf,"indie pop, funk, r&b, soul, experimental pop",assets/artists/remi_wolf.png,pkp2025,"Aug 2, 2025"
gigi_perez,Gigi Perez,"indie pop, alternative pop, singer-songwriter",assets/artists/gigi_perez.png,pkp2025,"Aug 2, 2025"
knockz,Knockz,"house, bass house, electronic dance music",assets/artists/knockz.png,pkp2025,"Aug 2, 2025"
murda_beatz,Murda Beatz,"hip hop, trap, rap",assets/artists/murda_beatz.png,pkp2025,"Aug 2, 2025"
ravyn_lenae,Ravyn Lenae,"r&b, neo-soul, psychedelic soul, alternative r&b",assets/artists/ravyn lenae.png,pkp2025,"Aug 2, 2025"
isoxo,ISOxo,"trap, bass music, electronic, experimental",assets/artists/isoxo.png,pkp2025,"Aug 2, 2025"
ca7riel_paco_amoroso,Ca7riel & Paco Amoroso,"latin trap, edm, hip house, latin pop",assets/artists/CA7RIEL_Paco Amoroso.png,pkp2025,"Aug 2, 2025"
fujii_kaze,Fujii Kaze,"j-pop, r&b, pop",assets/artists/fujii_kaze.png,pkp2025,"Aug 3, 2025"
wyatt_flores,Wyatt Flores,"country, folk rock, americana, red dirt",assets/artists/Wyatt_flores.png,pkp2025,"Aug 3, 2025"
wunderhorse,Wunderhorse,"alternative rock, indie rock, grunge, psychedelic rock",assets/artists/wunderhorse.png,pkp2025,"Aug 3, 2025"
tape_b,Tape B,"house, lo-fi house, electronic dance music",assets/artists/Tape B.png,pkp2025,"Aug 3, 2025"
doechii,Doechii,"alternative hip hop, pop rap, r&b, experimental",assets/artists/doechii.png,pkp2025,"Aug 3, 2025"
