user_id,name,favorite_artist_ids,preferred_location
u001,Elena,"mau_p,salute,levity","Spain,Belgium,France"
u002,Marcus,"martin_garrix,isoxo,levity,two_friends","Germany,Belgium,Netherlands"
u003,Isabella,"young_miko,ca7riel_paco_amoroso,marina","Brazil,Argentina,Belgium,Spain"
u004,Sophie,"ravyn_lenae,orion_sun,clairo,mk_gee","France,Belgium,UK"
u005,Diego,"young_miko,ca7riel_paco_amoroso,asap_rocky","Mexico,USA,Belgium"
u006,Hannah,"twice,fujii_kaze,orion_sun,gigi_perez","South Korea,Japan,Belgium,USA"
u007,Priya,"rufus_du_sol,mau_p,levity,ocean_alley","India,Belgium,Australia,UK"
u008,Ryley,"clairo,gigi_perez,wallows,remi_wolf","Canada,USA,Belgium,UK"
u009,Liam,"ca7riel_paco_amoroso,clairo,tpain,gigi_perez","USA,Belgium,Canada"
u010,Ava,"the_dare,orion_sun,ca7riel_paco_amoroso,mau_p,wyatt_flores","UK,Belgium,France,Netherlands"
u011,Noah,"sabrina_carpenter,gigi_perez,murda_beatz,bilmuri,mau_p","Japan,USA,Belgium,South Korea"
u012,Mia,"clairo,rufus_du_sol,marina,wallows,ca7riel_paco_amoroso","Canada,USA,Belgium,France"
u013,Lucas,"bunt,ocean_alley,charlotte_lawrence,gigi_perez,tyler_the_creator","South Africa,Belgium,UK,Australia"
u014,Emma,"tyler_the_creator,mk_gee,ravyn_lenae,kaicrewsade","Argentina,Chile,Belgium,Brazil"
u015,Ethan,"martin_garrix,gigi_perez,charlotte_lawrence,orion_sun,asap_rocky","Italy,Belgium,Germany,France"
u016,Chloe,"levity,mau_p,sunami,murda_beatz,jpegmafia","India,Belgium,UK,Netherlands"
u017,Leo,"sabrina_carpenter,rufus_du_sol,salute,the_dare,murda_beatz","South Korea,Japan,Belgium,USA"
u018,Zoe,"isoxo,marina,flip_turn,bunt,clairo","Portugal,Spain,Belgium,France"
